id,Date,APPLICATION,OFFERED,ANSWERED,AVG ANS DELAY,AVG ANS DELAY SECONDS,MAX ANS DELAY,ABANDONED,DelayCallsProduct
20140101-ccc_311_calgary_combined,2014/01/01,ccc_311_calgary_combined,2353,1782,0:02:40,160,,571,285120
20140101-ccc_priority_script,2014/01/01,ccc_priority_script,35,35,0:00:15,15,,0,525
20140102-ccc_311_calgary_combined,2014/01/02,ccc_311_calgary_combined,4283,3450,0:02:41,161,,833,555450
20140102-ccc_priority_script,2014/01/02,ccc_priority_script,22,21,0:00:13,13,,1,273
20140102-ccc_tax_script,2014/01/02,ccc_tax_script,17,17,0:02:32,152,,0,2584
20140103-ccc_311_calgary_combined,2014/01/03,ccc_311_calgary_combined,4963,3707,0:03:44,224,,1256,830368
20140103-ccc_priority_script,2014/01/03,ccc_priority_script,72,69,0:00:15,15,,3,1035
20140103-ccc_tax_script,2014/01/03,ccc_tax_script,5,3,0:06:32,392,,2,1176
20140104-ccc_311_calgary_combined,2014/01/04,ccc_311_calgary_combined,2793,1562,0:09:23,563,,1231,879406
20140104-ccc_priority_script,2014/01/04,ccc_priority_script,44,44,0:00:37,37,,0,1628
20140104-ccc_tax_script,2014/01/04,ccc_tax_script,1,0,0:00:00,0,,1,0
20140105-ccc_311_calgary_combined,2014/01/05,ccc_311_calgary_combined,1379,1067,0:03:02,182,,312,194194
20140105-ccc_priority_script,2014/01/05,ccc_priority_script,28,28,0:00:28,28,,0,784
20140106-ccc_311_calgary_combined,2014/01/06,ccc_311_calgary_combined,5177,3600,0:05:49,349,,1577,1256400
20140106-ccc_priority_script,2014/01/06,ccc_priority_script,19,19,0:00:18,18,,0,342
20140106-ccc_tax_script,2014/01/06,ccc_tax_script,29,21,0:08:27,507,,8,10647
20140107-ccc_311_calgary_combined,2014/01/07,ccc_311_calgary_combined,5056,3609,0:04:54,294,,1447,1061046
20140107-ccc_priority_script,2014/01/07,ccc_priority_script,38,37,0:00:20,20,,1,740
20140107-ccc_tax_script,2014/01/07,ccc_tax_script,18,14,0:06:43,403,,4,5642
20140108-ccc_311_calgary_combined,2014/01/08,ccc_311_calgary_combined,4611,3918,0:02:15,135,,693,528930
20140108-ccc_priority_script,2014/01/08,ccc_priority_script,46,45,0:00:11,11,,1,495
20140108-ccc_tax_script,2014/01/08,ccc_tax_script,26,25,0:02:57,177,,1,4425
20140109-ccc_311_calgary_combined,2014/01/09,ccc_311_calgary_combined,4688,3531,0:04:02,242,,1157,854502
20140109-ccc_priority_script,2014/01/09,ccc_priority_script,45,42,0:00:20,20,,3,840
20140109-ccc_tax_script,2014/01/09,ccc_tax_script,29,21,0:04:29,269,,8,5649
20140110-ccc_311_calgary_combined,2014/01/10,ccc_311_calgary_combined,4627,3273,0:04:51,291,,1354,952443
20140110-ccc_priority_script,2014/01/10,ccc_priority_script,39,37,0:00:37,37,,2,1369
20140110-ccc_tax_script,2014/01/10,ccc_tax_script,25,19,0:05:31,331,,6,6289
20140111-ccc_311_calgary_combined,2014/01/11,ccc_311_calgary_combined,2027,1508,0:03:13,193,,519,291044
20140111-ccc_priority_script,2014/01/11,ccc_priority_script,26,24,0:00:31,31,,2,744
20140112-ccc_311_calgary_combined,2014/01/12,ccc_311_calgary_combined,1412,1132,0:02:30,150,,280,169800
20140112-ccc_priority_script,2014/01/12,ccc_priority_script,28,26,0:00:27,27,,2,702
20140112-ccc_tax_script,2014/01/12,ccc_tax_script,1,1,0:02:53,173,,0,173
20140113-ccc_311_calgary_combined,2014/01/13,ccc_311_calgary_combined,5162,3627,0:04:58,298,,1535,1080846
20140113-ccc_priority_script,2014/01/13,ccc_priority_script,57,54,0:00:19,19,,3,1026
20140113-ccc_tax_script,2014/01/13,ccc_tax_script,11,8,0:04:04,244,,3,1952
20140114-ccc_311_calgary_combined,2014/01/14,ccc_311_calgary_combined,5563,3381,0:07:49,469,,2182,1585689
20140114-ccc_priority_script,2014/01/14,ccc_priority_script,50,47,0:00:14,14,,3,658
20140114-ccc_tax_script,2014/01/14,ccc_tax_script,10,5,0:10:29,629,,5,3145
20140115-ccc_311_calgary_combined,2014/01/15,ccc_311_calgary_combined,8418,3150,0:21:15,1275,,5268,4016250
20140115-ccc_priority_script,2014/01/15,ccc_priority_script,42,39,0:00:17,17,,3,663
20140115-ccc_tax_script,2014/01/15,ccc_tax_script,27,11,0:21:13,1273,,16,14003
20140116-ccc_311_calgary_combined,2014/01/16,ccc_311_calgary_combined,6344,3526,0:10:45,645,,2818,2274270
20140116-ccc_priority_script,2014/01/16,ccc_priority_script,38,33,0:00:28,28,,5,924
20140116-ccc_tax_script,2014/01/16,ccc_tax_script,25,9,0:14:51,891,,16,8019
20140117-ccc_311_calgary_combined,2014/01/17,ccc_311_calgary_combined,4525,3249,0:04:05,245,,1276,796005
20140117-ccc_priority_script,2014/01/17,ccc_priority_script,34,34,0:00:14,14,,0,476
20140117-ccc_tax_script,2014/01/17,ccc_tax_script,20,16,0:03:24,204,,4,3264
20140118-ccc_311_calgary_combined,2014/01/18,ccc_311_calgary_combined,2041,1881,0:00:43,43,,160,80883
20140118-ccc_priority_script,2014/01/18,ccc_priority_script,28,24,0:00:18,18,,4,432
20140118-ccc_tax_script,2014/01/18,ccc_tax_script,1,1,0:01:39,99,,0,99
20140119-ccc_311_calgary_combined,2014/01/19,ccc_311_calgary_combined,1903,1629,0:01:33,93,,274,151497
20140119-ccc_priority_script,2014/01/19,ccc_priority_script,31,30,0:00:31,31,,1,930
20140119-ccc_tax_script,2014/01/19,ccc_tax_script,2,2,0:00:49,49,,0,98
20140120-ccc_311_calgary_combined,2014/01/20,ccc_311_calgary_combined,5679,3295,0:09:22,562,,2384,1851790
20140120-ccc_priority_script,2014/01/20,ccc_priority_script,37,34,0:00:39,39,,3,1326
20140120-ccc_tax_script,2014/01/20,ccc_tax_script,22,11,0:06:55,415,,11,4565
20140121-ccc_311_calgary_combined,2014/01/21,ccc_311_calgary_combined,5761,3172,0:11:14,674,,2589,2137928
20140121-ccc_priority_script,2014/01/21,ccc_priority_script,75,71,0:00:25,25,,4,1775
20140121-ccc_tax_script,2014/01/21,ccc_tax_script,36,18,0:09:28,568,,18,10224
20140122-ccc_311_calgary_combined,2014/01/22,ccc_311_calgary_combined,4617,3476,0:04:31,271,,1141,941996
20140122-ccc_priority_script,2014/01/22,ccc_priority_script,55,54,0:00:11,11,,1,594
20140122-ccc_tax_script,2014/01/22,ccc_tax_script,20,17,0:01:18,78,,3,1326
20140123-ccc_311_calgary_combined,2014/01/23,ccc_311_calgary_combined,5499,3361,0:08:25,505,,2138,1697305
20140123-ccc_priority_script,2014/01/23,ccc_priority_script,39,36,0:00:17,17,,3,612
20140123-ccc_tax_script,2014/01/23,ccc_tax_script,29,18,0:09:32,572,,11,10296
20140124-ccc_311_calgary_combined,2014/01/24,ccc_311_calgary_combined,5369,3337,0:02:04,124,,2032,413788
20140124-ccc_priority_script,2014/01/24,ccc_priority_script,44,42,0:00:12,12,,2,504
20140124-ccc_tax_script,2014/01/24,ccc_tax_script,19,16,0:00:02,2,,3,32
20140125-ccc_311_calgary_combined,2014/01/25,ccc_311_calgary_combined,2558,1413,0:09:37,577,,1145,815301
20140125-ccc_priority_script,2014/01/25,ccc_priority_script,28,24,0:00:35,35,,4,840
